"Area_Name","Illiterate","Upto 7 Class","Below 10 Class","Income Upto 25000","Income 25000-50000","Income 50000-100000","Income 100000-200000","Income 200000-300000","Income Upto 300000","Homeless","Living With Gauardian","Living With Parent"
"Andaman & Nicobar Islands","100","14200","17500","7400","20000","5300","1200","0","0","0","3700","30200"
"Andhra Pradesh","828000","674100","362900","1448700","387000","131100","21300","1700","1600","523400","306100","1161900"
"Arunachal Pradesh","19900","43100","47700","39000","54300","23000","3000","0","0","100","50500","68700"
"Assam","166400","145600","124200","325600","110100","34300","16200","6000","3100","64700","162400","268200"
"Bihar","222900","211600","209800","366900","221400","76700","20400","1200","500","55300","125600","506200"
"Chandigarh","27400","30600","47500","50300","34800","26300","5700","600","0","3500","5500","108700"
"Chhattisgarh","564200","865100","629000","1457600","450600","201400","65300","27800","7700","76500","312500","1821400"
"Dadra & Nagar Haveli","1600","5100","3100","6500","3700","1000","200","0","0","0","0","11400"
"Daman & Diu","1300","400","1800","2000","1500","1000","200","100","0","400","1100","3300"
"Delhi","364800","280100","223300","666400","190300","54800","8500","1700","1300","74600","174800","673600"
"Goa","24300","19100","25400","52800","14100","6200","1400","500","300","2100","3400","69800"
"Gujarat","618500","1363700","713700","2331400","390200","130400","17000","8200","5800","258600","245600","2378800"
"Haryana","232700","468400","840100","872900","574800","223600","59000","15500","2600","95100","98500","1554800"
"Himachal Pradesh","5100","28200","72500","78700","52200","17200","2600","300","1200","0","9300","142900"
"Jammu & Kashmir","1700","2900","5000","5300","3800","1400","500","200","200","100","100","11200"
"Jharkhand","239500","210000","112800","358300","182900","67500","43100","2100","2000","70200","235200","350500"
"Karnataka","143600","114600","145300","337900","63500","30500","8400","2800","600","23700","59900","360100"
"Kerala","21700","119100","247900","288500","172600","62800","14600","1900","0","17600","47800","475000"
"Lakshadweep","0","100","0","200","0","0","0","0","0","0","0","200"
"Madhya Pradesh","1913000","2761000","1898100","4526300","1497900","860400","208400","22900","9500","275400","1303500","5546500"
"Maharashtra","991500","2497500","2151800","4626300","983300","331200","123500","40800","6000","268100","762300","5080700"
"Manipur","0","0","0","0","0","0","0","0","0","0","0","0"
"Meghalaya","31400","33600","17200","60700","16300","5400","1500","100","0","3900","24900","55200"
"Mizoram","42000","64300","58900","119200","41500","10400","7000","2400","300","11700","32500","136600"
"Nagaland","700","4000","6700","9400","1100","1400","300","100","0","1400","2600","8300"
"Odisha","158500","155400","139800","394200","69300","16300","1300","500","0","24400","69100","388100"
"Puducherry","4200","34700","4700","26800","15200","2000","0","0","0","4700","1200","38100"
"Punjab","48300","41800","33200","74600","52900","11400","2700","200","1000","2700","3700","136400"
"Rajasthan","458500","896300","744900","1442300","488900","221300","57300","16300","1200","35200","178400","2013700"
"Sikkim","6600","20300","11000","34400","2800","900","0","0","0","900","2800","34400"
"Tamil Nadu","1321500","1333100","284200","2676300","266800","40600","3700","2500","700","301800","410500","2278300"
"Tripura","9400","8100","2500","11700","5500","3400","300","0","0","4300","5200","11400"
"Uttar Pradesh","58400","101900","96100","120400","95700","52800","21000","3300","400","6100","32600","254900"
"Uttarakhand","26100","25300","25500","49400","30400","13900","4100","1800","0","8600","7200","83800"
"West Bengal","32400","78300","59600","114400","55600","17500","2100","700","300","19600","84500","86500"
