"Uttar Pradesh","28622"
"Andhra Pradesh","16327"
"Jharkhand","11294"
"Madhya Pradesh","10747"
"Maharashtra","4001"
"Odisha","3135"
"Gujarat","2749"
"Himachal Pradesh","2544"
"Punjab","1523"
"Tamil Nadu","1328"
"Rajasthan","1216"
"Kerala","1055"
"Delhi","1013"
"Karnataka","809"
"Chhattisgarh","797"
"Jammu & Kashmir","682"
"Haryana","457"
"Bihar","310"
"West Bengal","299"
"Uttarakhand","168"
"Andaman & Nicobar Islands","154"
"Assam","150"
"Sikkim","138"
"Tripura","134"
"Nagaland","126"
"Arunachal Pradesh","119"
"Meghalaya","59"
"Goa","50"
"Mizoram","41"
"Puducherry","32"
"Chandigarh","21"
"Manipur","9"
"Lakshadweep","2"
"Dadra & Nagar Haveli","2"
"Daman & Diu","0"
